w/HHLC	324					w/oHHLC	324						w/HHLC 24				
index	bin	occurnace				index	bin	occurnace					index	bin	occurnace		
127	1033.859	4	24.61569048	98.4627619		127	996.156	3	23.718	71.154			127	629.047	4	14.97730952	59.9092381
128	1042	6	24.80952381	148.8571429		128	1004	2	23.9047619	47.80952381			128	634	14	15.0952381	211.3333333
129	1050.141	4	25.00335714	100.0134286		129	1011.844	6	24.09152381	144.5491429			129	638.953	11	15.21316667	167.3448333
130	1058.281	4	25.19716667	100.7886667		130	1019.688	9	24.27828571	218.5045714			130	643.906	9	15.33109524	137.9798571
131	1066.422	5	25.391	126.955		131	1027.531	6	24.46502381	146.7901429			131	648.859	11	15.44902381	169.9392619
132	1074.562	10	25.58480952	255.8480952		132	1035.375	6	24.65178571	147.9107143			132	653.812	11	15.56695238	171.2364762
133	1082.703	5	25.77864286	128.8932143		133	1043.219	5	24.83854762	124.1927381			133	658.766	11	15.68490476	172.5339524
134	1090.844	11	25.97247619	285.6972381		134	1051.062	5	25.02528571	125.1264286			134	663.719	13	15.80283333	205.4368333
135	1098.984	3	26.16628571	78.49885714		135	1058.906	7	25.21204762	176.4843333			135	668.672	14	15.9207619	222.8906667
136	1107.125	9	26.36011905	237.2410714		136	1066.75	13	25.39880952	330.1845238			136	673.625	5	16.03869048	80.19345238
137	1115.266	4	26.55395238	106.2158095		137	1074.594	11	25.58557143	281.4412857			137	678.578	8	16.15661905	129.2529524
138	1123.406	3	26.7477619	80.24328571		138	1082.438	3	25.77233333	77.317			138	683.531	12	16.27454762	195.2945714
139	1131.547	14	26.94159524	377.1823333		139	1090.281	15	25.95907143	389.3860714			139	688.484	10	16.39247619	163.9247619
140	1139.688	8	27.13542857	217.0834286		140	1098.125	3	26.14583333	78.4375			140	693.438	11	16.51042857	181.6147143
141	1147.828	7	27.3292381	191.3046667		141	1105.969	5	26.33259524	131.6629762			141	698.391	15	16.62835714	249.4253571
142	1155.969	8	27.52307143	220.1845714		142	1113.812	6	26.51933333	159.116			142	703.344	11	16.74628571	184.2091429
143	1164.109	5	27.71688095	138.5844048		143	1121.656	7	26.70609524	186.9426667			143	708.297	8	16.86421429	134.9137143
144	1172.25	5	27.91071429	139.5535714		144	1129.5	5	26.89285714	134.4642857			144	713.25	6	16.98214286	101.8928571
145	1180.391	5	28.10454762	140.5227381		145	1137.344	1	27.07961905	27.07961905			145	718.203	7	17.10007143	119.7005
146	1188.531	8	28.29835714	226.3868571		146	1145.188	6	27.26638095	163.5982857			146	723.156	7	17.218	120.526
147	1196.672	9	28.49219048	256.4297143		147	1153.031	2	27.45311905	54.9062381			147	728.109	7	17.33592857	121.3515
148	1204.812	9	28.686	258.174		148	1160.875	8	27.63988095	221.1190476			148	733.062	9	17.45385714	157.0847143
149	1212.953	6	28.87983333	173.279		149	1168.719	11	27.82664286	306.0930714			149	738.016	11	17.57180952	193.2899048
150	1221.094	9	29.07366667	261.663		150	1176.562	7	28.01338095	196.0936667			150	742.969	13	17.6897381	229.9665952
151	1229.234	5	29.26747619	146.337381		151	1184.406	9	28.20014286	253.8012857			151	747.922	9	17.80766667	160.269
152	1237.375	6	29.46130952	176.7678571		152	1192.25	6	28.38690476	170.3214286			152	752.875	12	17.92559524	215.1071429
153	1245.516	9	29.65514286	266.8962857		153	1200.094	10	28.57366667	285.7366667			153	757.828	8	18.04352381	144.3481905
154	1253.656	7	29.84895238	208.9426667		154	1207.938	8	28.76042857	230.0834286			154	762.781	9	18.16145238	163.4530714
155	1261.797	8	30.04278571	240.3422857		155	1215.781	11	28.94716667	318.4188333			155	767.734	7	18.27938095	127.9556667
156	1269.938	9	30.23661905	272.1295714		156	1223.625	9	29.13392857	262.2053571			156	772.688	6	18.39733333	110.384
157	1278.078	5	30.43042857	152.1521429		157	1231.469	5	29.32069048	146.6034524			157	777.641	12	18.5152619	222.1831429
158	1286.219	8	30.6242619	244.9940952		158	1239.312	12	29.50742857	354.0891429			158	782.594	11	18.63319048	204.9650952
159	1294.359	4	30.81807143	123.2722857		159	1247.156	5	29.69419048	148.4709524			159	787.547	9	18.75111905	168.7600714
160	1302.5	7	31.01190476	217.0833333		160	1255	14	29.88095238	418.3333333			160	792.5	11	18.86904762	207.5595238
161	1310.641	6	31.2057381	187.2344286		161	1262.844	12	30.06771429	360.8125714			161	797.453	4	18.98697619	75.94790476
162	1318.781	7	31.39954762	219.7968333		162	1270.688	10	30.25447619	302.5447619			162	802.406	6	19.10490476	114.6294286
163	1326.922	7	31.59338095	221.1536667		163	1278.531	8	30.44121429	243.5297143			163	807.359	7	19.22283333	134.5598333
164	1335.062	12	31.78719048	381.4462857		164	1286.375	10	30.62797619	306.2797619			164	812.312	10	19.3407619	193.407619
165	1343.203	5	31.98102381	159.905119		165	1294.219	4	30.8147381	123.2589524			165	817.266	6	19.45871429	116.7522857
166	1351.344	9	32.17485714	289.5737143		166	1302.062	8	31.00147619	248.0118095			166	822.219	13	19.57664286	254.4963571
167	1359.484	11	32.36866667	356.0553333		167	1309.906	9	31.1882381	280.6941429			167	827.172	8	19.69457143	157.5565714
168	1367.625	9	32.5625	293.0625		168	1317.75	11	31.375	345.125			168	832.125	9	19.8125	178.3125
169	1375.766	13	32.75633333	425.8323333		169	1325.594	11	31.5617619	347.179381			169	837.078	6	19.93042857	119.5825714
170	1383.906	11	32.95014286	362.4515714		170	1333.438	10	31.74852381	317.4852381			170	842.031	7	20.04835714	140.3385
171	1392.047	6	33.14397619	198.8638571		171	1341.281	9	31.9352619	287.4173571			171	846.984	11	20.16628571	221.8291429
172	1400.188	5	33.33780952	166.6890476		172	1349.125	5	32.12202381	160.610119			172	851.938	2	20.2842381	40.56847619
173	1408.328	11	33.53161905	368.8478095		173	1356.969	7	32.30878571	226.1615			173	856.891	12	20.40216667	244.826
174	1416.469	10	33.72545238	337.2545238		174	1364.812	7	32.49552381	227.4686667			174	861.844	4	20.52009524	82.08038095
175	1424.609	4	33.9192619	135.6770476		175	1372.656	4	32.68228571	130.7291429			175	866.797	4	20.63802381	82.55209524
176	1432.75	5	34.11309524	170.5654762		176	1380.5	6	32.86904762	197.2142857			176	871.75	11	20.75595238	228.3154762
177	1440.891	5	34.30692857	171.5346429		177	1388.344	3	33.05580952	99.16742857			177	876.703	5	20.87388095	104.3694048
178	1449.031	6	34.5007381	207.0044286		178	1396.188	7	33.24257143	232.698			178	881.656	5	20.99180952	104.9590476
179	1457.172	1	34.69457143	34.69457143		179	1404.031	3	33.42930952	100.2879286			179	886.609	5	21.1097381	105.5486905
180	1465.312	6	34.88838095	209.3302857		180	1411.875	4	33.61607143	134.4642857			180	891.562	7	21.22766667	148.5936667
181	1473.453	9	35.08221429	315.7399286		181	1419.719	7	33.80283333	236.6198333			181	896.516	5	21.34561905	106.7280952
182	1481.594	3	35.27604762	105.8281429		182	1427.562	2	33.98957143	67.97914286			182	901.469	8	21.46354762	171.708381
183	1489.734	8	35.46985714	283.7588571		183	1435.406	10	34.17633333	341.7633333			183	906.422	7	21.58147619	151.0703333
184	1497.875	2	35.66369048	71.32738095		184	1443.25	7	34.36309524	240.5416667			184	911.375	8	21.69940476	173.5952381
185	1506.016	9	35.85752381	322.7177143		185	1451.094	3	34.54985714	103.6495714			185	916.328	5	21.81733333	109.0866667
186	1514.156	7	36.05133333	252.3593333		186	1458.938	4	34.73661905	138.9464762			186	921.281	4	21.9352619	87.74104762
187	1522.297	5	36.24516667	181.2258333		187	1466.781	8	34.92335714	279.3868571			187	926.234	8	22.05319048	176.4255238
188	1530.438	4	36.439	145.756		188	1474.625	4	35.11011905	140.4404762			188	931.188	5	22.17114286	110.8557143
189	1538.578	1	36.63280952	36.63280952		189	1482.469	4	35.29688095	141.1875238			189	936.141	6	22.28907143	133.7344286
190	1546.719	6	36.82664286	220.9598571		190	1490.312	5	35.48361905	177.4180952			190	941.094	4	22.407	89.628
191	1554.859	9	37.02045238	333.1840714		191	1498.156	3	35.67038095	107.0111429			191	946.047	4	22.52492857	90.09971429
192	1563	3	37.21428571	111.6428571		192	1506	4	35.85714286	143.4285714			192	951	2	22.64285714	45.28571429
193	1571.141	6	37.40811905	224.4487143		193	1513.844	7	36.04390476	252.3073333			193	955.953	2	22.76078571	45.52157143
194	1579.281	1	37.60192857	37.60192857		194	1521.688	2	36.23066667	72.46133333			194	960.906	2	22.87871429	45.75742857
195	1587.422	2	37.7957619	75.59152381		195	1529.531	2	36.41740476	72.83480952			195	965.859	6	22.99664286	137.9798571
196	1595.562	2	37.98957143	75.97914286		196	1537.375	9	36.60416667	329.4375			196	970.812	3	23.11457143	69.34371429
197	1603.703	2	38.18340476	76.36680952		197	1545.219	4	36.79092857	147.1637143			197	975.766	4	23.23252381	92.93009524
198	1611.844	4	38.3772381	153.5089524		198	1553.062	5	36.97766667	184.8883333			198	980.719	2	23.35045238	46.70090476
199	1619.984	7	38.57104762	269.9973333		199	1560.906	1	37.16442857	37.16442857			199	985.672	4	23.46838095	93.87352381
200	1628.125	4	38.76488095	155.0595238		200	1568.75	1	37.35119048	37.35119048			200	990.625	2	23.58630952	47.17261905
201	1636.266	0	38.95871429	0		201	1576.594	3	37.53795238	112.6138571			201	995.578	2	23.7042381	47.40847619
202	1644.406	1	39.15252381	39.15252381		202	1584.438	4	37.72471429	150.8988571			202	1000.531	4	23.82216667	95.28866667
203	1652.547	6	39.34635714	236.0781429		203	1592.281	3	37.91145238	113.7343571			203	1005.484	0	23.94009524	0
204	1660.688	3	39.54019048	118.6205714		204	1600.125	4	38.09821429	152.3928571			204	1010.438	2	24.05804762	48.11609524
205	1668.828	1	39.734	39.734		205	1607.969	0	38.28497619	0			205	1015.391	4	24.17597619	96.70390476
206	1676.969	4	39.92783333	159.7113333		206	1615.812	2	38.47171429	76.94342857			206	1020.344	1	24.29390476	24.29390476
207	1685.109	2	40.12164286	80.24328571		207	1623.656	0	38.65847619	0			207	1025.297	0	24.41183333	0
208	1693.25	4	40.31547619	161.2619048		208	1631.5	0	38.8452381	0			208	1030.25	2	24.5297619	49.05952381
209	1701.391	1	40.50930952	40.50930952		209	1639.344	2	39.032	78.064			209	1035.203	2	24.64769048	49.29538095
210	1709.531	0	40.70311905	0		210	1647.188	3	39.2187619	117.6562857			210	1040.156	0	24.76561905	0
211	1717.672	1	40.89695238	40.89695238		211	1655.031	1	39.4055	39.4055			211	1045.109	0	24.88354762	0
212	1725.812	2	41.0907619	82.18152381		212	1662.875	0	39.5922619	0			212	1050.062	1	25.00147619	25.00147619
213	1733.953	2	41.28459524	82.56919048		213	1670.719	2	39.77902381	79.55804762			213	1055.016	0	25.11942857	0
214	1742.094	0	41.47842857	0		214	1678.562	1	39.9657619	39.9657619			214	1059.969	2	25.23735714	50.47471429
215	1750.234	2	41.6722381	83.34447619		215	1686.406	0	40.15252381	0			215	1064.922	1	25.35528571	25.35528571
216	1758.375	0	41.86607143	0		216	1694.25	0	40.33928571	0			216	1069.875	0	25.47321429	0
217	1766.516	0	42.05990476	0		217	1702.094	1	40.52604762	40.52604762			217	1074.828	2	25.59114286	51.18228571
218	1774.656	0	42.25371429	0		218	1709.938	0	40.71280952	0			218	1079.781	4	25.70907143	102.8362857
219	1782.797	2	42.44754762	84.89509524		219	1717.781	1	40.89954762	40.89954762			219	1084.734	1	25.827	25.827
220	1790.938	1	42.64138095	42.64138095		220	1725.625	2	41.08630952	82.17261905			220	1089.688	0	25.94495238	0
221	1799.078	1	42.83519048	42.83519048		221	1733.469	0	41.27307143	0			221	1094.641	0	26.06288095	0
222	1807.219	0	43.02902381	0		222	1741.312	0	41.45980952	0			222	1099.594	0	26.18080952	0
223	1815.359	0	43.22283333	0		223	1749.156	0	41.64657143	0			223	1104.547	1	26.2987381	26.2987381
224	1823.5	1	43.41666667	43.41666667		224	1757	0	41.83333333	0			224	1109.5	0	26.41666667	0
225	1831.641	0	43.6105	0		225	1764.844	1	42.02009524	42.02009524			225	1114.453	1	26.53459524	26.53459524
226	1839.781	0	43.80430952	0		226	1772.688	0	42.20685714	0			226	1119.406	2	26.65252381	53.30504762
227	1847.922	1	43.99814286	43.99814286		227	1780.531	0	42.39359524	0			227	1124.359	0	26.77045238	0
228	1856.062	0	44.19195238	0		228	1788.375	1	42.58035714	42.58035714			228	1129.312	2	26.88838095	53.7767619
229	1864.203	1	44.38578571	44.38578571		229	1796.219	0	42.76711905	0			229	1134.266	1	27.00633333	27.00633333
230	1872.344	0	44.57961905	0		230	1804.062	1	42.95385714	42.95385714			230	1139.219	0	27.1242619	0
231	1880.484	0	44.77342857	0		231	1811.906	1	43.14061905	43.14061905			231	1144.172	0	27.24219048	0
232	1888.625	2	44.9672619	89.93452381		232	1819.75	0	43.32738095	0			232	1149.125	1	27.36011905	27.36011905
233	1896.766	0	45.16109524	0		233	1827.594	0	43.51414286	0			233	1154.078	0	27.47804762	0
234	1904.906	1	45.35490476	45.35490476		234	1835.438	1	43.70090476	43.70090476			234	1159.031	0	27.59597619	0
235	1913.047	0	45.5487381	0		235	1843.281	0	43.88764286	0			235	1163.984	0	27.71390476	0
236	1921.188	0	45.74257143	0		236	1851.125	0	44.07440476	0			236	1168.938	0	27.83185714	0
